approach, domain, threads, workload, time sec,       cycles, instructions, L1-misses, LLC-misses, branch-misses,  task-clock, scale,  IPC, CPUs,  GHz 
coarseRW,   1024,      10,      mix,     0.92, 3343050799.00, 1893667533.00, 26871513.00, 2298943.00,   48005538.00, 917086745.00,     1, 0.57, 0.99, 3.65 
lockCoupling,   1024,       1, contains,     6.04, 21575670946.00, 50717064474.00, 96646058.00, 2934607.00,    4792378.00, 6015508667.00,     1, 2.35, 1.00, 3.59 
lockCoupling,   1024,       2, contains,    16.55, 59259032702.00, 25370777624.00, 167387798.00, 102818199.00,    9101537.00, 16474777426.00,     1, 0.43, 1.00, 3.60 
lockCoupling,   1024,       4, contains,    10.52, 37667131919.00, 15823310833.00, 132073632.00, 94058740.00,   19915848.00, 10452812135.00,     1, 0.42, 0.99, 3.60 
lockCoupling,   1024,       6, contains,     8.53, 30592556073.00, 11037523300.00, 93722983.00, 60025201.00,   29695853.00, 8477210919.00,     1, 0.36, 0.99, 3.61 
lockCoupling,   1024,       8, contains,     6.76, 24167435659.00, 7400403929.00, 74117515.00, 47357615.00,   26743461.00, 6709578353.00,     1, 0.31, 0.99, 3.60 
lockCoupling,   1024,      10, contains,     5.62, 20289217830.00, 5657608920.00, 58847371.00, 38242018.00,   22015875.00, 5599584541.00,     1, 0.28, 1.00, 3.62 
lockCoupling,   1024,       1,      mix,     5.89, 21147812559.00, 49461286143.00, 101337651.00, 3654559.00,    5086214.00, 5869691421.00,     1, 2.34, 1.00, 3.60 
lockCoupling,   1024,       2,      mix,    16.18, 57827288783.00, 24694597324.00, 176353441.00, 109074408.00,   10098103.00, 16115943377.00,     1, 0.43, 1.00, 3.59 
lockCoupling,   1024,       4,      mix,     9.93, 35626107769.00, 15469745382.00, 130734754.00, 93489064.00,   18787382.00, 9872693363.00,     1, 0.43, 0.99, 3.61 
lockCoupling,   1024,       6,      mix,     7.74, 27583750920.00, 8594485831.00, 82086870.00, 56803732.00,   15895898.00, 7675882793.00,     1, 0.31, 0.99, 3.59 
lockCoupling,   1024,       8,      mix,     6.05, 21636894066.00, 6659418165.00, 64440250.00, 44821273.00,   16692715.00, 6009374411.00,     1, 0.31, 0.99, 3.60 
lockCoupling,   1024,      10,      mix,     4.92, 17678364398.00, 5981206262.00, 62118203.00, 38967721.00,   28452763.00, 4880465472.00,     1, 0.34, 0.99, 3.62 
lockCouplingRW,   1024,       1, contains,     4.81, 17263359567.00, 44078659237.00, 81396942.00, 2323844.00,    2754067.00, 4795034034.00,     1, 2.55, 1.00, 3.60 
lockCouplingRW,   1024,       2, contains,    14.20, 50882014621.00, 21861241937.00, 164287593.00, 95283504.00,    4766558.00, 14147836336.00,     1, 0.43, 1.00, 3.60 
lockCouplingRW,   1024,       4, contains,     9.91, 35591699257.00, 11192613242.00, 125935527.00, 76694539.00,    3082665.00, 9875126217.00,     1, 0.31, 1.00, 3.60 
lockCouplingRW,   1024,       6, contains,     7.32, 26219356706.00, 7242998342.00, 107998958.00, 60882927.00,    2354387.00, 7261275997.00,     1, 0.28, 0.99, 3.61 
lockCouplingRW,   1024,       8, contains,     6.08, 21708680826.00, 5279342985.00, 90936208.00, 48258667.00,    1947270.00, 6031569925.00,     1, 0.24, 0.99, 3.60 
lockCouplingRW,   1024,      10, contains,     4.92, 17641874007.00, 4442483644.00, 107459182.00, 53386502.00,    1604197.00, 4872629014.00,     1, 0.25, 0.99, 3.62 
lockCouplingRW,   1024,       1,      mix,     5.98, 21375459427.00, 52820428544.00, 109382805.00, 4174756.00,    4156003.00, 5963612727.00,     1, 2.47, 1.00, 3.58 
lockCouplingRW,   1024,       2,      mix,    13.20, 47217775323.00, 26554804273.00, 174873169.00, 109352063.00,    7217432.00, 13148545152.00,     1, 0.56, 1.00, 3.59 
lockCouplingRW,   1024,       4,      mix,     8.76, 31394496890.00, 14952052026.00, 161516948.00, 102346704.00,   14375947.00, 8711893476.00,     1, 0.48, 0.99, 3.60 
lockCouplingRW,   1024,       6,      mix,     6.50, 23107938757.00, 11110731802.00, 122407450.00, 76400344.00,   19998549.00, 6411309143.00,     1, 0.48, 0.99, 3.60 
lockCouplingRW,   1024,       8,      mix,     5.24, 18871385465.00, 7991095152.00, 100296518.00, 61205787.00,   18490127.00, 5209075811.00,     1, 0.42, 1.00, 3.62 
lockCouplingRW,   1024,      10,      mix,     4.83, 17235882911.00, 6627000580.00, 77759867.00, 46114089.00,   29339823.00, 4783181989.00,     1, 0.38, 0.99, 3.60 
optimistic,   1024,       1, contains,     1.09, 3916187197.00, 6134628351.00, 59417943.00,  516582.00,    2696834.00, 1086663121.00,     1, 1.57, 1.00, 3.60 
optimistic,   1024,       2, contains,     1.33, 4740531265.00, 3006047276.00, 89051049.00, 5056587.00,    1601462.00, 1328497922.00,     1, 0.63, 1.00, 3.57 
optimistic,   1024,       4, contains,     0.78, 2805903301.00, 1255011783.00, 34805905.00, 3983733.00,     796995.00, 776666340.00,     1, 0.45, 0.99, 3.61 
optimistic,   1024,       6, contains,     0.59, 2162725906.00, 973447287.00, 24430397.00, 3904112.00,     995737.00, 586960070.00,     1, 0.45, 0.99, 3.68 
optimistic,   1024,       8, contains,     0.57, 1975081957.00, 770711463.00, 41497021.00, 3309521.00,     710551.00, 568501449.00,     1, 0.39, 1.00, 3.47 
optimistic,   1024,      10, contains,     0.51, 1822587962.00, 670877972.00, 20399462.00, 3373979.00,    1581735.00, 507144275.00,     1, 0.37, 1.00, 3.59 
optimistic,   1024,       1,      mix,     1.11, 4043386322.00, 6044509160.00, 85300480.00, 1096453.00,    3500705.00, 1104619689.00,     1, 1.49, 1.00, 3.66 
optimistic,   1024,       2,      mix,     0.80, 2849404241.00, 2886736568.00, 87471792.00, 5178239.00,    1802293.00, 799855682.00,     1, 1.01, 1.00, 3.56 
optimistic,   1024,       4,      mix,     0.77, 2774626782.00, 1832418065.00, 43882164.00, 4650041.00,    1541722.00, 762460895.00,     1, 0.66, 0.99, 3.64 
optimistic,   1024,       6,      mix,     0.66, 2402619063.00, 1127504510.00, 41705554.00, 4203085.00,    1158859.00, 662323918.00,     1, 0.47, 1.00, 3.63 
optimistic,   1024,       8,      mix,     0.55, 1925122476.00, 751217165.00, 35653585.00, 3599998.00,    1328937.00, 552622633.00,     1, 0.39, 1.00, 3.48 
optimistic,   1024,      10,      mix,     0.45, 1623796636.00, 595926448.00, 22580944.00, 3323257.00,    1055765.00, 452656250.00,     1, 0.37, 1.00, 3.59 
